ancien_cip13;ancien_code_barres;garde_cip13;garde_code_barres;regle;libelle
3400936774247;3400936774247;3400930029954;3400930029954;B1 groupe 92 : 3677424 remplace par 3002995;ALFA-AMYLASE BGC 200U SIR200ML
3400930012260;3400930012260;3400930303283;3400930303283;B1 groupe 94 : 3001226 remplace par 3030328;EUROBIOL 12500U GELU FV100
3400930117583;3400930117583;3400930318874;3400930318874;B1 groupe 95 : 3011758 remplace par 3031887;EFAVIR/EMTRICIT/TENOF.EG FL30
3400936156470;3400936156470;3400930231135;3400930231135;B1 groupe 96 : 3615647 remplace par 3023113;TIGREAT 2,5MG CPR BT12
3400927925832;3400927925832;3400930272206;3400930272206;B1 groupe 98 : 2792583 remplace par 3027220;NICOTINE EGS ME.4MG S/S GOM 96
3400930022559;3400930022559;3400930325872;3400930325872;B1 groupe 99 : 3002255 remplace par 3032587;ROSUVASTATINE ZEN 10MG CPR B30
3400930130858;3400930130858;3400930254035;3400930254035;B1 groupe 100 : 3013085 remplace par 3025403;ZEJULA 100MG GELU BT56 D.U
3400930265468;3400930265468;3400930301791;3400930301791;B1 groupe 101 : 3026546 remplace par 3030179;DIMETHYL FUM.EG 240MG GELU 56
3400930182451;3400930182451;3400930301951;3400930301951;B1 groupe 102 : 3018245 remplace par 3030195;FULVESTRANT EG 250MG SRG5ML 1
3400955076919;3400955076919;3400930311127;3400930311127;B1 groupe 103 : 5507691 remplace par 3031112;RIVASTIGMINE ZEN 9,5MG/24H DISP BT 30
3400949114863;5712249114862;3400949125722;5712249125721;B1 groupe 104 : 4911486 remplace par 4912572;NOVOPEN ECHO PLUS STYL ROU T
3400930022573;3400930022573;3400930325896;3400930325896;B1 groupe 106 : 3002257 remplace par 3032589;ROSUVASTATINE ZEN 20MG CPR B30
3400930126684;3400930126684;3400930254042;3400930254042;B1 groupe 109 : 3012668 remplace par 3025404;ZEJULA 100MG GELU BT84 D.U
3400930109359;3400930109359;3400930323458;3400930323458;B1 groupe 110 : 3010935 remplace par 3032345;KISQALI 200MG CPR BT63
3400930109342;3400930109342;3400930323441;3400930323441;B1 groupe 111 : 3010934 remplace par 3032344;KISQALI 200MG CPR BT42
3400930109335;3400930109335;3400930323434;3400930323434;B1 groupe 112 : 3010933 remplace par 3032343;KISQALI 200MG CPR BT21
3400930059654;3400930059654;3400930266755;3400930266755;B1 groupe 113 : 3005965 remplace par 3026675;IMATINIB ACC 400MG CPR BT30 DU
3400930230329;3400930230329;3400930212226;3400930212226;B1 groupe 115 : 3023032 remplace par 3021222;FINGOLIMOD BGA 0,5MG GELU BT28
3400930026878;3400930026878;3400930309049;3400930309049;B1 groupe 116 : 3002687 remplace par 3030904;IMATINIB EG 400MG CPR FL30
3400930059630;3400930059630;3400930266731;3400930266731;B1 groupe 117 : 3005963 remplace par 3026673;IMATINIB ACC 100MG CPR BT60 DU
3400930277362;3400930277362;3400930321645;3400930321645;B1 groupe 118 : 3027736 remplace par 3032164;TERIFLUNOMIDE TVC 14MG CPR B28
3400930105153;3400930105153;3400930323649;3400930323649;B1 groupe 119 : 3010515 remplace par 3032364;EFAVIR/EMTRICIT/TENOF.ZEN FL30
