Gamme;Nom;Laboratoire;cip7;cip13;EAN;Prix;Remise client;Prix remisé;Quantité minimum;Quantité par multiple
CAMILIA;Solution buvable 10Unid/1ml;BOIRON;3609629;3400936096295;3400936096295;6.35;19;5.1435;1.0000;0.0000
HOMEOAFTYL;Comprimés à sucer Bte/60;BOIRON;3587508;3400935875082;3400935875082;7.95;19;6.4400;1.0000;0.0000
ARNIGEL;Gel Tube/45g;BOIRON;3019984;3400930199848;3400930199848;5.9;19;4.7800;1.0000;0.0000
CAMILIA;Solution buvable 30Unid/1ml;BOIRON;3947289;3400939472898;3400939472898;13.7;19;11.0970;1.0000;0.0000
ARNICALME;Comprimés orodispersibles Bte/40;BOIRON;2191814;3400921918144;3400921918144;7.75;19;6.2800;1.0000;0.0000
AVENOC;Suppositoires Bte/10;BOIRON;3008893;3400930088937;3400930088937;8.55;19;6.9300;1.0000;0.0000
VERRULIA;Comprimés à sucer Bte/60;BOIRON;3609641;3400936096417;3400936096417;7.75;19;6.2800;1.0000;0.0000
HOMEOPLASMINE;Pommade Tube/40g;BOIRON;3013742;3400930137420;3400930137420;7.53;19;6.1000;1.0000;0.0000
HOMEOPLASMINE;Pommade Tube/18g;BOIRON;3013741;3400930137413;3400930137413;5.4;19;4.3700;1.0000;0.0000
HOMEOPTIC;Collyre unidoses Bte/10;BOIRON;3587514;3400935875143;3400935875143;7.45;19;6.0300;1.0000;0.0000
ZENALIA;Comprimés sublinguaux Bte/30;BOIRON;3609670;3400936096707;3400936096707;8.45;19;6.8400;1.0000;0.0000
QUIETUDE;Sirop enfant Fl/200ml;BOIRON;3527251;3400935272515;3400935272515;8.35;19;6.7600;1.0000;0.0000
HOMEOGENE 46;Comprimés orodispersibles Bte/60;BOIRON;3637531;3400936375314;3400936375314;9.25;19;7.4900;1.0000;0.0000
PATES A SUCER PECTORALES;Sambucus Bte/70g;BOIRON;3008191;3400930081914;3400930081914;9;19;7.2900;1.0000;0.0000
OSCILLOCOCCINUM;Granulés unidose Bte/6;BOIRON;3281100;3400932811007;3400932811007;9.35;19;7.5700;1.0000;0.0000
PATES A SUCER PECTORALES;Baudry Bte/70g;BOIRON;;3400930211182;3400930211182;9;19;7.2900;1.0000;0.0000
DROSETUX;Sirop Fl/150ml;BOIRON;3004331;3400930043318;3400930043318;7.65;19;6.2000;1.0000;0.0000
HOMEOGENE 9;Comprimés Bte/60;BOIRON;3050346;3400930503461;3400930503461;6.85;19;5.5485;1.0000;0.0000
PARAGRIPPE;Comprimés Bte/60;BOIRON;3078385;3400930783856;3400930783856;8.35;19;6.7600;1.0000;0.0000
HOMEOVOX;Comprimés à sucer Bte/60;BOIRON;3050429;3400930504291;3400930504291;7;19;5.6700;1.0000;0.0000
STODAL;Sirop Fl/200ml;BOIRON;3015788;3400930157886;3400930157886;7.55;19;6.1200;1.0000;0.0000
OSCILLOCOCCINUM;Granulés unidose Bte/30;BOIRON;4166200;3400941662003;3400941662003;33.5;19;27.1400;1.0000;0.0000
CORYZALIA;Comprimés orodispersibles Bte/40;BOIRON;2246886;3400922468860;3400922468860;7.6;19;6.1600;1.0000;0.0000
REXORUBIA;Granulés Bte/350g;LEHNING;3015642;3400930156421;3400930156421;9.25;16;7.7700;3.0000;0.0000
BIOMAG;Comprimés à croquer agrume Bte/90;LEHNING;3402578;3400934025785;3400934025785;12.9;16;10.8400;6.0000;0.0000
SINUSPAX;Comprimés à croquer Bte/60;LEHNING;3000148;3400930001486;3400930001486;9.1;16;7.6400;6.0000;0.0000
PHYTOTUX;Sirop Fl/250ml;LEHNING;3276501;3400932765010;3400932765010;6.7;16;5.6300;3.0000;0.0000
PATE SUISSE;Pâtes à sucer Pin & Eucalyptus Bte/50g;LEHNING;;;3661744050866;8.1;16;6.8000;3.0000;0.0000
ANGIPAX;Comprimés orodispersibles Bte/40;LEHNING;3979496;3400939794969;3400939794969;9.1;16;7.6400;3.0000;0.0000
MYRTINE INHALANTE;Solution pour inhalation Fl/90ml;LEHNING;6240331;3401562351062;3661744050897;7.7;16;6.4700;1.0000;0.0000
PURESSENTIEL ANTI-PIQUE;Spray répulsif anti-pique aux huiles essentielles Bio 75 ml;PURESSENTIEL;5441795;3401554417950;3401554417950;11.99;30;8.3900;1.0000;0.0000
