CIP13;LIBELLE;PRIX NET HT;GAMME
3400930262313;VITABACT 0,05% CY FL GTT10ML 1;3,91;INTEGRAL TOP 200
3400930053287;ANTIBIO-SYNALAR AURIC SOL 10ML;1,63;INTEGRAL TOP 200
3400934912405;MONAZOL 2% CR TB15G;2,24;INTEGRAL TOP 200
3400930121429;LEVOTHYROX 100MCG CPR BT90 EXC;4,54;INTEGRAL TOP 200
3400933384616;FLECTOR 1% GEL TB60G - NSFP;1,69;INTEGRAL TOP 200
3400930157930;LEVOTHYROX 88MCG CPR BT30;1,41;INTEGRAL TOP 200
3400932192946;DUPHASTON 10MG CPR BT10;2,31;INTEGRAL TOP 200
3400932320189;DOLIPRANE 500MG CPR BT16;0,88;INTEGRAL TOP 200
3400930037911;ENTRESTO 49MG/51MG CPR BT56;98,15;INTEGRAL TOP 200
3400934423079;ADRIGYL 10000UI/ML GTT FL10ML;1,32;INTEGRAL TOP 200
3400931623298;COLPOTROPHINE CAPS VAG BT20;3,67;INTEGRAL TOP 200
3400930037904;ENTRESTO 24MG/26MG CPR BT28;49,06;INTEGRAL TOP 200
4028694001499;HYLOVIS MULTI GTT FL15ML 1;8,49;INTEGRAL TOP 200
3400926857981;TRESIBA 200U/ML INJ STYL.3ML 3;49,81;INTEGRAL TOP 200
3400930247853;PREVENAR 20 INJ SRG0,5ML+AIG 1;50,28;INTEGRAL TOP 200
3400936773875;BOOSTRIXTETRA INJ SRG0,5ML+A 1;19,15;INTEGRAL TOP 200
3400937722988;LANTUS 100U/ML INJ SOLO3ML 5;32,28;INTEGRAL TOP 200
3400934507786;DOLIPRANE 500MG GELU BT16;0,88;INTEGRAL TOP 200
3400930158494;COSTEC 20+5MG/ML COLLY FL10ML1;12,13;INTEGRAL TOP 200
3400932955107;LOXEN LP 50MG GELU BT60;9,98;INTEGRAL TOP 200
3400934809866;DOLIPRANE 200MG SUP BT10;1,03;INTEGRAL TOP 200
3400930037928;ENTRESTO 97MG/103MG CPR BT56;98,15;INTEGRAL TOP 200
3400930311165;COLCHICINE MYS 1MG CPR BT30;3,06;INTEGRAL TOP 200
3664478000015;HYLO LIPID COLLYRE FL3ML1;7,62;INTEGRAL TOP 200
3400930573020;LAROXYL 25MG CPR BT60;2,89;INTEGRAL TOP 200
3400930066188;LEVOTHYROX 150MCG CPR BT30 EXC;2,32;INTEGRAL TOP 200
3400932070268;FLAMMAZINE CR TB50G;2,83;INTEGRAL TOP 200
3400930158043;LEVOTHYROX 112MCG CPR BT30;1,77;INTEGRAL TOP 200
3400936416628;SEPTIVON 1,5% CUTA FL250ML;1,72;INTEGRAL TOP 200
3400937689021;LACRIFLUID 0,13% CY UNIDOS 60;4,81;INTEGRAL TOP 200
3400930396988;FERROSTRANE ENF/AD SIR F125ML1;2,01;INTEGRAL TOP 200
3400930271216;DIPROSALIC LOT FL30ML;2,25;INTEGRAL TOP 200
3400930252512;NEFOPAM PANP 30MG CPR PEL BT30;8,84;INTEGRAL TOP 200
3400931136446;VIT B12 GERDA 250MCG CPR FL24;5,50;INTEGRAL TOP 200
3400927619960;RELVAR ELLIPTA 92/22MCG 30DOSX1;25,05;INTEGRAL TOP 200
3400930108611;BETADINE SCRUB SOL FP125ML;1,33;INTEGRAL TOP 200
3400934809118;DOLIPRANE 100MG SUP BT10;1,03;INTEGRAL TOP 200
3400930145951;LEVOFREE 0,05% COLLY FL5ML 1;4,64;INTEGRAL TOP 200
3400932046546;CYTEAL SOL MOUSS FP250ML;2,21;INTEGRAL TOP 200
3400930240595;RYALTRIS 25MCG/600MCG/DOS F30ML1;8,99;INTEGRAL TOP 200
3400933397562;KEAL 1G SUSP BUV SACH5ML 30;7,89;INTEGRAL TOP 200
3400930271209;DIPROSONE 0,05% LOT FL30ML;2,41;INTEGRAL TOP 200
3400949250318;ZALERG 0,25MG/ML COLLY FL5ML;4,25;INTEGRAL TOP 200
3400930258637;WEGOVY 0,5MG FLEX INJ STYLO SC 1;131,19;INTEGRAL TOP 200
3400941945670;ELIQUIS 2,5MG CPR BT60;52,41;INTEGRAL TOP 200
3400930079782;VAXELIS INJ SRG0,5ML 1 +1AIG;28,35;INTEGRAL TOP 200
3400931499787;BETADINE 10% SOL LOC FL125ML;1,48;INTEGRAL TOP 200
3400930024119;SOOLANTRA 10MG/G CR TB30G 1;25,82;INTEGRAL TOP 200
3400926752682;OPTIDRIL 30MCG/150MCG CPR 28X3;3,23;INTEGRAL TOP 200
3400930652534;MAXIDROL COLLY FL3ML;1,48;INTEGRAL TOP 200
3400935887559;SERESTA 10MG CPR BT30;0,96;INTEGRAL TOP 200
3400930313244;ASARED 75MG CPR BT30;1,36;INTEGRAL TOP 200
3400930040072;ABASAGLAR 100U STY(1-80U) 3ML5;29,98;INTEGRAL TOP 200
3400935166906;ENGERIX B 20MCG SRG.BACK.1ML 1;13,94;INTEGRAL TOP 200
3400932637119;RHINOFLUIMUCIL NAS FL NEB 10ML;4,66;INTEGRAL TOP 200
3400930322154;OZEMPIC 0,5MG INJ STYLO3ML 1;68,23;INTEGRAL TOP 200
3400932487813;HAVLANE CPR BT20;2,00;INTEGRAL TOP 200
3400934429972;TOBRADEX COLLY FL5ML;1,90;INTEGRAL TOP 200
3400933018023;DEPAKINE CHRONO 500MG CPR TB30;5,96;INTEGRAL TOP 200
3400932748501;AMYCOR 1% CR LOC TB15G;2,71;INTEGRAL TOP 200
3400936497931;VOGALENE 5MG SUP SECAB BT10;1,12;INTEGRAL TOP 200
3400930632192;LUMIRELAX 500MG CPR BT20;7,42;INTEGRAL TOP 200
3400937071024;RINOCLENIL 100MCG NAS PULV120D.;4,70;INTEGRAL TOP 200
3614790001054;NEREYA COLLY 0,24% FL10ML;6,21;INTEGRAL TOP 200
3400932855520;EXACYL 500MG CPR PELLIC BT20;2,34;INTEGRAL TOP 200
3400932781737;LOXEN 20MG CPR BT30;3,21;INTEGRAL TOP 200
3400936366848;MONOSEPT COLLY DOS 30;2,46;INTEGRAL TOP 200
3400932399482;SURGAM 200MG CPR BT15;1,69;INTEGRAL TOP 200
3400934810176;DOLIPRANE 300MG SUP BT10;1,03;INTEGRAL TOP 200
3662042003615;BLEPHACLEAN COMP STER PAUP 20;8,93;INTEGRAL TOP 200
3400932223794;NERISONE CR TB30G;1,93;INTEGRAL TOP 200
3400934136139;XOLAAM CPR CROQ BT40;1,50;INTEGRAL TOP 200
3400936918498;DIASEPTYL 0,5% SOL PULV 125ML;2,35;INTEGRAL TOP 200
3400927956478;DULCILARMES 1,5% COLLY DOS 60;4,81;INTEGRAL TOP 200
3400930121443;LEVOTHYROX 125MCG CPR BT90 EXC;5,64;INTEGRAL TOP 200
