CIP7;CIP13;EAN;Libellé;Prix HT Catalogue;Prix HT Remisé;Gabarit;Mini de commande;Gamme;Sous Gamme;Seuil n° 1;Prix HT remisé 1;Seuil n° 2;Prix HT remisé 2;Seuil n° 3;Prix HT remisé 3
;3400932955107;;LOXEN LP 50MG GELU BT60;10,38;9,98;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400934809866;;DOLIPRANE 200MG SUP BT10;1,21;1,03;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930037928;;ENTRESTO 97MG/103MG CPR BT56;102,12;98,15;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930311165;;COLCHICINE MYS 1MG CPR BT30;3,24;3,06;;;INTEGRAL TOP 300;Petits prix;;;;;;
;;3664478000015;HYLO LIPID COLLYRE FL3ML1;7,62;7,62;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930573020;;LAROXYL 25MG CPR BT60;3,07;2,89;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930066188;;LEVOTHYROX 150MCG CPR BT30 EXC;2,50;2,32;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932070268;;FLAMMAZINE CR TB50G;3,01;2,83;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930158043;;LEVOTHYROX 112MCG CPR BT30;1,95;1,77;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936416628;;SEPTIVON 1,5% CUTA FL250ML;1,90;1,72;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400937689021;;LACRIFLUID 0,13% CY UNIDOS 60;5,00;4,81;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930396988;;FERROSTRANE ENF/AD SIR F125ML1;2,19;2,01;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930271216;;DIPROSALIC LOT FL30ML;2,43;2,25;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930252512;;NEFOPAM PANP 30MG CPR PEL BT30;9,20;8,84;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931136446;;VIT B12 GERDA 250MCG CPR FL24;5,50;5,50;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400927619960;;RELVAR ELLIPTA 92/22MCG 30DOSX1;26,06;25,05;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930108611;;BETADINE SCRUB SOL FP125ML;1,51;1,33;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934809118;;DOLIPRANE 100MG SUP BT10;1,21;1,03;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930145951;;LEVOFREE 0,05% COLLY FL5ML 1;4,83;4,64;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400932046546;;CYTEAL SOL MOUSS FP250ML;2,39;2,21;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930240595;;RYALTRIS 25MCG/600MCG/DOS F30ML1;9,35;8,99;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933397562;;KEAL 1G SUSP BUV SACH5ML 30;7,89;7,89;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930271209;;DIPROSONE 0,05% LOT FL30ML;2,59;2,41;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400949250318;;ZALERG 0,25MG/ML COLLY FL5ML;4,42;4,25;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930258637;;WEGOVY 0,5MG FLEX INJ STYLO SC 1;136,50;131,19;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400941945670;;ELIQUIS 2,5MG CPR BT60;54,53;52,41;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930079782;;VAXELIS INJ SRG0,5ML 1 +1AIG;29,50;28,35;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931499787;;BETADINE 10% SOL LOC FL125ML;1,66;1,48;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930024119;;SOOLANTRA 10MG/G CR TB30G 1;25,82;25,82;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400926752682;;OPTIDRIL 30MCG/150MCG CPR 28X3;3,41;3,23;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930652534;;MAXIDROL COLLY FL3ML;1,66;1,48;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400935887559;;SERESTA 10MG CPR BT30;1,14;0,96;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930313244;;ASARED 75MG CPR BT30;1,54;1,36;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930040072;;ABASAGLAR 100U STY(1-80U) 3ML5;31,19;29,98;;;INTEGRAL TOP 300;Biosimilaires;;;;;;
;3400935166906;;ENGERIX B 20MCG SRG.BACK.1ML 1;14,50;13,94;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400932637119;;RHINOFLUIMUCIL NAS FL NEB 10ML;4,66;4,66;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930322154;;OZEMPIC 0,5MG INJ STYLO3ML 1;70,99;68,23;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400932487813;;HAVLANE CPR BT20;2,18;2,00;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934429972;;TOBRADEX COLLY FL5ML;2,08;1,90;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400933018023;;DEPAKINE CHRONO 500MG CPR TB30;6,20;5,96;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400932748501;;AMYCOR 1% CR LOC TB15G;2,89;2,71;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936497931;;VOGALENE 5MG SUP SECAB BT10;1,30;1,12;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930632192;;LUMIRELAX 500MG CPR BT20;7,42;7,42;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400937071024;;RINOCLENIL 100MCG NAS PULV120D.;4,89;4,70;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;;3614790001054;NEREYA COLLY 0,24% FL10ML;6,21;6,21;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400932855520;;EXACYL 500MG CPR PELLIC BT20;2,52;2,34;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932781737;;LOXEN 20MG CPR BT30;3,39;3,21;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936366848;;MONOSEPT COLLY DOS 30;2,64;2,46;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932399482;;SURGAM 200MG CPR BT15;1,87;1,69;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934810176;;DOLIPRANE 300MG SUP BT10;1,21;1,03;;;INTEGRAL TOP 300;Petits prix;;;;;;
;;3662042003615;BLEPHACLEAN COMP STER PAUP 20;8,93;8,93;;;INTEGRAL TOP 300;Non remboursés;;;;;;
