CIP13;DESIGNATION;PRIX ACHAT U HT
3400930959695;SERESTA 50MG CPR SECAB BT20;1,53
3400934326165;MYDRIATICUM 2MG/0,4ML CY DOS 1;0,94
3400935746931;TEMESTA 1MG CPR BT30;0,76
3401076312351;IALUSET CR TRAIT ULCERE 100G T;5,87
3400933145262;DAKIN CPF STABILISE LOC 250ML;2,22
3400934903878;CARBOSYMAG GELU+GELU BT48;4,10
3400932473335;BETNEVAL 0,1% CR TB30G;1,75
3400933054212;BISEPTINE SOL LOC FP250ML;1,62
3400930573259;LAROXYL 40MG/ML BUV FL20ML;2,67
3400930151075;OZEMPIC 0,25MG INJ STYLO1,5ML1;68,23
3400939020228;ROTARIX BUV TB1,5ML 1;52,00
3400938510980;HUMALOG 100UI/ML KWIKPEN 3ML 5;24,96
3400930003732;TRULICITY 0,75MG INJ STY0,5ML4;71,39
3400933753672;GAVISCON BB BUV SUSP FL150ML;2,09
3400932070619;DEPAMIDE 300MG CPR BT30;3,58
3400932825653;CUTACNYL 5% GEL LOC TB40G;1,75
3400933830885;CALCIDOSE D3 500MG/400U SACH60;4,62
3400931994107;COLPOTROPHINE 1% CR TB30G;3,71
3400922439716;CILOXADEX 3MG/1MG/ML AURIC 5ML;2,35
3400930515587;HYDROCORTANCYL 2,5% INJ FL5ML;7,23
3400932285020;GAVISCON BUV SUSP FV250ML;2,72
3400936009011;CARTEOL LP 2% COLLY UNIDOS 30;5,62
3400928025777;TARDYFERON 50MG CPR BT30;1,37
3400933775155;HAVRIX 1440 AD. INJ SRG1ML 1;18,89
3400935211422;TIORFAN 30MG ENF PDR SACH 30;5,39
3400930119808;L-THYROXIN HNG 100MCG CPR BT100;5,04
3400933590499;GLUCAGEN KIT 1MG INJ FL+SRG 1;16,29
3400930288849;DELIPROCT SUP BT6;6,61
3400932054411;VOGALENE 15MG GELU BT20;3,17
3400930573198;LAROXYL 50MG CPR BT20;2,22
3400930083161;FIASP FLEXTOUCH 100U/ML STYLO5;27,66
3400933277826;KALEORID LP 1000MG CPR BT30;1,69
3401321104311;BD A MICROF ULTRA PRO 4MM STYL100 T - RP 03830;8,58
3400935527400;NOVORAPID FLEXPEN STYLO3ML 5;19,60
3400931395430;DELIPROCT POM RECT TB30G;14,58
3400931376330;TERALITHE 250MG CPR BT100;10,85
3760054331020;HYLOVIS LIPO EMUL OCUL 15ML T;8,49
3400933489045;HEMIGOXINE NAT 0,125MG CPR 30;1,60
3400939094908;QLAIRA CPR BT28 X3;27,99
3400936366619;OKIMUS CPR BT40;5,23
3400933531539;ASPIRINE UPSA 1000MG C.EFFV 20;2,02
3400938200348;TIORFANOR 175MG CPR BT12;3,96
3400932984312;TEGRETOL LP 400MG CPR BT30;3,05
3400931824091;MINIDRIL CPR 21 X3;3,23
3400932936984;NATISPRAY 0,15MG BUC FL200DOS;3,02
3400933148744;TEGRETOL LP 200MG CPR BT30;1,66
3400933563585;NAABAK 4,9% COLLY FL10ML;4,71
3400936498990;NICOPASS 1,5MG S/S MENT PAST96;7,23
3400936758797;PENTASA 2G GLE SACH 60;58,75
8032668873001;HYDRAMED NIGHT SENS POM OPHT5G FR;3,91
3400930066249;LEVOTHYROX 175MCG CPR BT30 EXC;2,68
3400937701358;TRANXENE 10MG GELU BT30;1,93
3400935259097;NOVORAPID 100U/ML INJ FL10ML 1;11,32
3400930158074;LEVOTHYROX 112MCG CPR BT90;5,07
3400933383084;LOMEXIN 2% CR TB15G;1,59
4028694001437;HYLOVIS MULTI GEL OCUL 15ML 1;8,49
3400932189465;LOCOID 0,1% LOT FL30ML;2,17
3400934125652;DECAPEPTYL LP11,25MG F+A 1+NEC;234,51
3400936909915;VIT B1-B6 BAYER CPR BT40;13,51
3400930206423;CLOBETASOL SSP 500MCG SHA 125ML;8,32
3400936440920;CACIT VIT D3 500 CPR TB60;4,62
3400937068291;GELTIM LP 1MG/G GEL OPHT DOS30;5,62
3400930250426;QUVIVIQ 50MG CPR BT30;50,56
3400927620102;RELVAR ELLIPTA 184/22MCG30DOSX1;25,05
3400930014035;RESITUNE 100MG CPR FL30;1,36
