CIP7;CIP13;EAN13;Laboratoire;Gamme;Libellé;TVA;Prix A HT;Remise1;Colisage;QteMin
;;3701127751857;Abm Pharma;VENTES;Canne anglaise enfant noir/anis;0.1;25.23;0;0;10
;;3701127751864;Abm Pharma;VENTES;Canne anglaise enfant rouge/bleu;0.1;8.25;0;0;10
;;3701127752373;Abm Pharma;VENTES;Chaise garde-robe fixe avec bouchon - 130 kg;0.2;49.9;0;1;1
;;4028698114881;Abm Pharma;VENTES;Chaise de douche ?xe réglable en hauteur 3 en 1 - 160 kg;0.2;81.04;0;1;2
;;4065995006853;Abm Pharma;VENTES;Rollator 4 roues;0.1;46.9;0;1;2
;;5060035706013;Abm Pharma;VENTES;Paingone Ellune;0.2;115;0;1;1
;;5060217494837;Abm Pharma;VENTES;Stimulateur circulatoire revitive medic pharm;0.2;219.12;0;1;1
;;5407005980026;Abm Pharma;VENTES;Pèse personne électronique;0.2;19.61;0;1;3
;;5703538121432;Abm Pharma;VENTES;ABRI-LET MAXI PROTECTIONS DROITES 15X60 TRAVERSABLES 20PCS;0.2;17.3;0;1;3
;;5703538246418;Abm Pharma;VENTES;Couches écologiques pour enfants Bambo Nature;0.2;34.3;0;1;2
;;5703538464997;Abm Pharma;VENTES;Couches écologiques pour enfants Bambo Nature;0.2;27.4;0;1;2
;;5703538465031;Abm Pharma;VENTES;Couches écologiques pour enfants Bambo Nature;0.2;40.8;0;1;2
;;5703538465055;Abm Pharma;VENTES;Couches écologiques pour enfants Bambo Nature;0.2;38;0;1;2
;;5713571000014;Abm Pharma;VENTES;Changes complets ABENA SLIP XS2, Premium - Ab;0.2;58.72;0;1;1
;;5713571000052;Abm Pharma;VENTES;Changes complets ABENA SLIP S2, Premium - Abs;0.2;42.83;0;1;2
;;5713571000250;Abm Pharma;VENTES;Changes complets ABENA SLIP L3 NUIT, Premium;0.2;63.5;0;1;1
;;5713571000311;Abm Pharma;VENTES;Changes complets ABENA SLIP XL4 NUIT, Premium;0.2;46.5;0;1;2
;;5713571000670;Abm Pharma;VENTES;ABENA SAN 10 NUIT- Absorption 2800 ml - 1 ca;0.2;49.15;0;1;2
;;5713571000915;Abm Pharma;VENTES;Slips absorbants ABENA PANTS M3, Premium - A;0.2;70.5;0;1;1
;;5713571000977;Abm Pharma;VENTES;Slips absorbants ABENA PANTS L3, Premium - A;0.2;74;0;1;1
;;5713571001219;Abm Pharma;VENTES;Protections anatomiques femme Abena Light - A;0.2;17.9;0;1;3
;;5713571001271;Abm Pharma;VENTES;Protections anatomiques femme Abena Light - A;0.2;48.9;0;1;3
;;5713571001653;Abm Pharma;VENTES;Couches écologiques pour enfants Bambo Nature;0.2;34.3;0;1;2
;;6971919466239;Abm Pharma;VENTES;Poire effilée 27 ml - (forte quantité : livraison sous 15 jours);0.2;1.9;0;1;50
;;6973911691275;Abm Pharma;VENTES;COMED Urinal avec bouchon plastique homme 1l;0.2;2.5;0;0;16
;3401041211085;3664390155459;Abm Pharma;VENTES;Chaise de douche fixe réglable en hauteur - 135 kg;0.2;36.6;0;1;1
;3401041350623;;Abm Pharma;VENTES;Déambulateur 3 roues;0.1;66.9;0;1;1
;3401041351392;;Abm Pharma;VENTES;Tabouret de douche réglable en hauteur - 135;0.2;27.9;0;1;1
;3401048255655;3664604063105;Abm Pharma;VENTES;Réhausse WC Rehosoft NG en mousse injectée sans couvercle;0.2;27;0;1;3
;3401048905512;3665067000065;Abm Pharma;VENTES;Électrostimulateur Tens Eco 2;0.2;125.9;0;1;3
;3401060002183;;Abm Pharma;VENTES;Chaise de douche fixe réglable en hauteur - 136 kg;0.2;51.5;0;1;1
;3401060138820;;Abm Pharma;VENTES;Chaise garde-robe à roulettes - 130 kg;0.2;99.9;0;1;1
;3401060140274;;Abm Pharma;VENTES;DRIVE Siège de bain monobloc pivotant accoudoirs relevable edora;0.2;95;0;1;1
;3401060226718;;Abm Pharma;VENTES;Rollator 4 roues avec barre dorsale - 130 kg;0.1;89;0;1;2
;3401060273309;;Abm Pharma;VENTES;Chambres d'inhalation pour nourrisson de 0 à 18 mois (forte quantité : livr;0.2;12.11;0;1;36
;3401060273323;;Abm Pharma;VENTES;Chambres d'inhalation pour adulte 6 ans et plus (forte quantité : livraison;0.2;12.11;0;1;36
;3401060273347;;Abm Pharma;VENTES;Chambres d'inhalation pour enfant 1 à 6 ans forte (quantité : livraison sou;0.2;12.11;0;1;36
;3401061301988;3701127708639;Abm Pharma;VENTES;Canne tripode adulte;0.1;18.99;0;1;3
;3401095160827;;Abm Pharma;VENTES;Coussin Kalli Visco cl. II - 42 x 42 cm (L x p);0.2;33.29;0;1;2
;3401095161077;;Abm Pharma;VENTES;Coussin Kalli Visco cl. II - 43 x 44 cm (L x;0.2;33.29;0;1;2
;3401095634083;;Abm Pharma;VENTES;Rollator 2 roues avec siège - 100 kg;0.1;26.9;0;1;2
;3401098438008;3701127709698;Abm Pharma;VENTES;Coussin ovale percé;0.2;27.5;0;1;2
;3401170282147;;Abm Pharma;VENTES;DDHF Déambulateur rollator pliant moka;0.1;95.3;0;1;2
;3401565241063;;Abm Pharma;VENTES;Urinal homme anti-reflux;0.2;18.9;0;1;3
;3665438000069;3665438000069;Abm Pharma;VENTES;AMEDA SET TIRE LAIT ECO DOUBLE;0.2;24.9;0;1;16
4842523;3401048425232;;Abm Pharma;VENTES;Canne anglaise Ad bleu Unité;0.1;6.69;0;0;20
4855744;3401048557445;3701127707236;Abm Pharma;VENTES;Déambulateur fixe;0.1;26.9;0;1;2
4878449;3401548784495;3701127712742;Abm Pharma;VENTES;Table de lit Easy imitation bois;0.2;37.18;0;1;2
5128242;3401051282426;;Abm Pharma;VENTES;Tétérelle simple Kittet Taille S - 26 mm - ve;0.2;10.6;0;0;6
6133860;3401061338601;5060150390616;Abm Pharma;VENTES;Sonde vaginale Periform®+;0.2;21.85;0;0;3
6267968;3401062679680;3701127708691;Abm Pharma;VENTES;Canne de marche réglable poignée Béquillon coloris gris alu - 120 kg;0.1;7;0;0;6
6341765;3401063417656;;Abm Pharma;VENTES;Déambulateur fixe - Hauteur réglable : de 81;0.1;34.9;0;1;3
6615079;3401066150796;3701127701937;Abm Pharma;VENTES;Canne anglaise - 130 kg;0.1;5.25;0;0;40
7629936;3401576299367;5060150390623;Abm Pharma;VENTES;Sonde anale ou vaginale anuform;0.2;37.5;0;0;2
7720482;3401077204822;3701127708998;Abm Pharma;VENTES;Réhausse WC clipper II avec clips;0.2;13.8;0;0;3
9738434;3401097384344;0888912341189;Abm Pharma;VENTES;DURA-STICK Electrod ronde diam32mm B/4;0.2;4.92;0;1;20
9754700;3401097547008;0888912340953;Abm Pharma;VENTES;Electrodes carrées 50 x 50 mm 1 sachet de 4;0.2;4.92;0;1;20
;;8032472010210;Aboca;Coligas;COLIGAS FAST Gél B/30;0.055;8.96;0.05;6;1
;;8032472012115;Aboca;Colilen;COLILEN IBS Gél B/96;0.2;22.11;0.05;6;1
;;8032472016205;Aboca;Fitonasal;FITONASAL Spray concentré Fl/30ml;0.2;8.11;0.05;6;1
;;8032472010920;Aboca;Fitostill;FITOSTILL PLUS S ocul Fl c-gtt/5ml;0.2;7.88;0.05;6;1
;;8032472009566;Aboca;Grintuss;GRINTUSS PEDIATRIC Sp tx sèche grasse Fl/128g;0.2;6.71;0.05;12;1
;;8032472011385;Aboca;Grintuss;GRINTUSS ADULTE Cpr toux sèche et grasse B/20;0.2;8.69;0.05;6;1
;;8032472038108;Aboca;Grintuss;GRINTUSS ADULTE SP TX SECHE GRASSE FL/180G;0.2;8.46;0.05;12;1
;;8032472038115;Aboca;Grintuss;GRINTUSS PEDIATRIC Sirop toux sèche et grasse Fl/180g;0.2;8.46;0.05;12;1
;;8032472038122;Aboca;Grintuss;GRINTUSS ADULTE SP TX SECHE GRASSE FL/128G NV CODE;0.2;6.71;0.05;12;1
;;8032472038139;Aboca;Grintuss;GRINTUSS PEDIATRIC TOUX SIROP 128G;0.2;6.71;0.05;1;1
;;8032472012832;Aboca;Lenodiar;LENODIAR ADULTE Gél B/20;0.2;9.28;0.05;6;1
;;8032472012849;Aboca;Lenodiar;LENODIAR PEDIATRIC Glé 12Sach/2g;0.2;9.28;0.05;6;1
;;8032472009788;Aboca;Melilax;MELILAX ADULTE Gel rect microlavement 6T/10g;0.2;6.94;0.05;6;1
;;8032472009795;Aboca;Melilax;MELILAX PEDIATRIC Gel rect microlavement 6/5g;0.2;6.94;0.05;6;1
;;8032472019039;Aboca;Metarecod;METARECOD Glé 40Sach/2,5g;0.2;20.36;0.05;6;1
;;8032472008446;Aboca;NeoFitoroid;NEOFITOROID BIO Pom T/40ml;0.2;8.87;0.05;6;1
;;8032472010081;Aboca;NeoFitoroid;NEOFITOROID Gél B/50;0.055;14.27;0.05;6;1
;;8032472006916;Aboca;Neobianacid;NEOBIANACID Cpr suc B/45;0.2;11.61;0.05;6;1
