CIP7;CIP13;EAN13;Prix A HT;Remise1;Libellé;Colisage
3025650;3400930256503;;8.44;0;CORDARONE 200 mg Cpr séc Plq/2x15 (30);1
3024001;3400930240014;;10.7;0.1;POMMADE M.O. COCHON Pom B/10g;1
3203778;3400932037780;;7.36;0.2;STREPSILS Past à sucer menthe glaciale Plq/24;1
3206251;3400932062515;;8.08;0.16;ASPRO 500 mg Cpr eff B/36;1
3280543;3400932805433;;1.23;0;TOBREX 0,3 % Collyre sol Fl/5ml;1
3514685;3400935146854;;8.72;0.16;ASPIRINE DU RHONE 500 mg Cpr Plq/5x10 (50);1
3514679;3400935146793;;4.74;0.16;ASPIRINE DU RHONE 500 mg Cpr Plq/20;1
3178632;3400931786320;;4.28;0;DEDROGYL 15 mg/100 ml S buv en gouttes Fl/10ml;1
3293965;3400932939657;;3.1;0;BURINEX 1 mg Cpr Plq Alu/PVC/30;1
3192307;3400931923077;;3.42;0;SMECTA 3 g Pdr susp buv en sachet orange vanille 30Sach;1
3049604;3400930496046;;6.1;0.2;HEXTRIL 0,1 % Bain bouche Fl/200ml;1
3547325;3400935473257;;9.14;0.2;HEXTRIL 0,1 % Bain bouche Fl/400ml;1
3188636;3400931886365;;1.4;0;NIFLURIL 400 mg Suppos séc enfant 2Film/4 (8);1
3130720;3400931307204;;3.41;0;ORAP 4 mg Cpr 1Plq/30;1
3130714;3400931307143;;1.11;0;ORAP 1 mg Cpr Plq/30;1
3041703;3400930417034;;1.82;0.14;FUCIDINE 2 % Pom T/15g;1
3105308;3400931053088;;1.62;0;THERALENE 4 % S buv Fl/30ml;1
3105283;3400931052838;;1.49;0;THERALENE 5 mg Cpr pell séc Fl/50;1
3030527;3400930305270;;3.18;0;DIAMOX 250 mg Cpr séc Plq/24;1
3129510;3400931295105;;7.21;0.45;HUILE DE PARAFFINE GIFRER S buv Fl/250ml;1
3129527;3400931295273;;11.4;0.45;HUILE DE PARAFFINE GIFRER S buv Fl/500ml;1
3276501;3400932765010;;6.95;0.16;PHYTOTUX Sirop Fl/250ml;1
3325406;3400933254063;;2.18;0;METEOSPASMYL Caps molle Plq PVC/alu/20;1
3007681;3400930076811;;4;0.1;ASPIRINE UPSA VITAMINE C Cpr eff tamponnée effervescente 2T/10;1
3037469;3400930374696;;1.45;0;ESPERAL 500 mg Cpr T/20;1
